client_gb,compute_share,mean_s,n_peers,p50_s,p95_s,peer_gb,profile,tok_per_s,topology
,0.9999999909413569,0.009156338100385856,0,0.00915633810038586,0.00915633810038586,,none,109.21396622060725,single_machine
0.45268992,0.9040413019168854,0.016982811726302442,2,0.01698053390411694,0.01713252757170003,35.006205015,lan,58.88306460179569,A_chain
0.45268992,0.8939060161749404,0.02053142376397659,3,0.020529110959787385,0.02071285953406291,23.33747001,lan,48.70582827064093,A_chain
0.45268992,0.8869971647215776,0.02407354168934511,4,0.02407218036085093,0.02426145274537985,17.5031025075,lan,41.53938015869919,A_chain
0.45268992,0.8719391904546987,0.038251707903922544,8,0.03825287836742468,0.038496928699357016,8.75155125375,lan,26.1426235532206,A_chain
0.45268992,0.8758920046246798,0.017528603003785434,2,0.017522769656777473,0.01770460370757903,35.006205015,lan,57.04961198471107,A_relay
0.45268992,0.8487417642238737,0.021623966201355416,3,0.021619253557939366,0.02183553506291327,23.33747001,lan,46.2449853411868,A_relay
0.45268992,0.8307371857711247,0.025703873124970227,4,0.025701936280363755,0.02594938303664434,17.5031025075,lan,38.90464270260276,A_relay
0.45268992,0.7930591640633051,0.042056336695446644,8,0.04205279879572176,0.042395458235871354,8.75155125375,lan,23.777629688518925,A_relay
24.71392683,0.03138743619997999,0.17164904894797658,2,0.17166410913776683,0.1723423639801971,22.6492416,lan,5.825840609831052,B_star
19.05161643,0.030042272778916607,0.17190514534793125,3,0.17190849669082076,0.17254128308844838,16.9869312,lan,5.817161539731854,B_star
15.654230190000002,0.029260581258060733,0.17204288350406802,4,0.1720357137071057,0.17262015173051326,13.589544960000001,lan,5.812504299117695,B_star
9.61443243,0.027838602447871747,0.1723050043774223,8,0.172296192334234,0.17286204455898047,7.5497472000000005,lan,5.8036619633494135,B_star
0.45268992,0.28222682730751236,0.0544000843921443,2,0.04996159712955049,0.05883023504239457,35.006205015,metro,18.382324424195307,A_chain
0.45268992,0.26211156741879466,0.07002042452377401,3,0.06433712367570732,0.0914831946138982,23.33747001,metro,14.28154723141489,A_chain
0.45268992,0.2467403839534906,0.08654101481531609,4,0.07944034076274453,0.11423712646313001,17.5031025075,metro,11.555214624349647,A_chain
0.45268992,0.218748256239356,0.15247281873991506,8,0.13887841870402587,0.24081628287385842,8.75155125375,metro,6.558546029806002,A_chain
0.45268992,0.22713369737092998,0.06759526834181145,2,0.06180952489832531,0.08917730231923156,35.006205015,metro,14.793934908923855,A_relay
0.45268992,0.18944207274453867,0.09688008031882614,3,0.08842762327148304,0.13688161823199962,23.33747001,metro,10.322039336766279,A_relay
0.45268992,0.16989799331886005,0.12568225678322617,4,0.11458050685410277,0.1853490681619871,17.5031025075,metro,7.956572595006603,A_relay
0.45268992,0.13824576080078196,0.24125993469932977,8,0.22152938709805586,0.4116609257844934,8.75155125375,metro,4.144907032517646,A_relay
24.71392683,0.004096202892393016,1.3155500464708976,2,1.2910351557642212,1.659033849308458,22.6492416,metro,0.76013831832746,B_star
19.05161643,0.0036181084278359816,1.4283799346867276,3,1.4006116960000217,1.825504980236005,16.9869312,metro,0.7000938445829681,B_star
15.654230190000002,0.003325672513081118,1.5140853738412094,4,1.4811556186844141,1.9312006905880803,13.589544960000001,metro,0.6604647381692993,B_star
9.61443243,0.0028152986436379996,1.7050741569778194,8,1.6693647715066722,2.2385085823723663,7.5497472000000005,metro,0.5864847554621688,B_star
